ticker,av_close,av_volume,av_dividend_amount,highest,lowest,difference
PETR4,29.454876232201535,40267296.56889376,0.007994392113910186,130.0,4.2
VALE3,51.765511500547646,10637711.075575028,0.010073428258488499,119.99,8.6
ITUB4,45.79392102036348,20212720.85526604,0.0035312896868841693,450.7875,14.598
BBDC4,28.748749945259476,24036710.032844316,0.0036065250711626888,50.0948,12.0775
B3SA3,18.948531279251167,37980148.84139366,0.0011576703068122724,67.3999,4.01
ABEV3,20.533722334004022,18202636.61971831,0.0022361770623742457,87.9,11.03
MGLU3,50.64011972065181,51742734.621882275,0.00014396408380445625,621.7888,1.792
GNDI3,56.38293432203389,3490361.5423728814,0.0026492584745762713,101.45,20.0
LREN3,46.65151958577217,3585217.328905898,0.00160029266096353,134.05,12.35
WEGE3,25.468952215032356,2473300.727725236,0.0008968392234942758,92.21,7.5
BBAS3,32.00984186250824,7995975.444761695,0.006941555018669009,83.15,11.41
VVAR3,11.14682087781732,13867263.280743377,0.00011672597864768682,50.0,1.05
CIEL3,25.414327761711974,14738253.049739733,0.004671255060728744,72.3098,2.01
BRDT3,23.261961770623742,7267955.633802817,0.0077187122736418505,31.09,13.74
SUZB3,45.72359769286229,6716792.141312185,0.0029761355443403024,79.18,17.49
JBSS3,13.324197407776673,7722272.890329013,0.001858100697906281,39.05,2.8
CSNA3,28.886229960578188,7421894.085413929,0.004004336399474375,158.2842,2.78
MRFG3,10.986092681691568,4336541.315776146,0.0015025829323879463,27.7,3.6
GGBR4,22.046196009647005,8282967.435650077,0.003062617846963386,84.3,3.28
RADL3,38.888904963650035,1832433.43569817,0.00038347956881423925,400.0,7.3
CPFE3,27.767051478641843,1224312.860898138,0.006902015334063527,47.6,13.87
KLBN11,19.935286514433436,4404425.549332185,0.0028264541146057736,63.0,10.96
EMBR3,16.737406839105656,3695288.5988601493,0.0008897632617273126,30.4,5.8
HYPE3,25.34251792828685,2761128.3359893756,0.0023160690571049137,50.81,7.48
BTOW3,0.6290256013745704,79956.6615120275,0.00015515463917525774,7.95,0.002
EQTL3,31.658326960914653,2466370.9090667376,0.0011540813613400694,104.41,9.23
LAME4,27.028269139324774,26211990.833095577,0.0002338563956252972,187.84,4.53
CVCB3,25.379499021276597,4716965.256595745,0.0017491063829787234,64.8,2.55
IRBR3,30.510755494505492,18340884.51785714,0.04039182692307692,112.73,0.66
RAIL3,21.54588834736376,5829277.643774922,0.0003888568896765618,181.5,0.91
GOLL4,21.543953131844066,3467170.2831800263,0.0008426850635129216,82.8,1.16
TIMP3,9.354219030520648,2966136.905873301,0.0007304693511156707,17.49,3.08
ELET6,21.323140372398683,97182374.99145673,0.006341226725082146,54.94,0.0541
CSAN3,37.837420616658996,2236082.4192360793,0.0009498849516797057,180.5,8.54
CESP6,23.70586742620404,88347860.6716727,0.0037194717762817193,49.1,8.3
BRKM5,23.544231866929312,1987563.1645874372,0.004519369665134602,70.17,0.0889
CPLE6,30.015418309242225,8818315.41108191,0.0010429478756022775,77.91,5.77
ECOR3,10.96789361051666,2992663.3925405075,0.001601742586365026,19.1,3.4
HAPV3,27.256596244131455,27427042.640062597,0.00017402190923317682,73.29,1.94
YDUQ3,23.107814192849403,2476520.0804442037,0.0015375406283856987,56.6,6.55
GOAU4,21.853582547686912,6291373.544398158,0.002678140758605569,116.6,0.97
MRVE3,14.658393492628369,4173302.4895780375,0.0017464158617183528,43.7,5.53
BBSE3,27.983578352180935,4779848.3037156705,0.008188449111470113,38.32,16.6
CCRO3,23.158352683461118,4757159.592552027,0.0030631763417305583,91.8,7.88
AZUL4,30.96086161879895,6987488.315926893,0.0,2188.0,6.79
RENT3,35.05051699126931,2466962.130960376,0.0012615849563465413,73.93,5.29
CASH3,12.192396313364055,24790698.494623657,9.523809523809523e-06,74.0,0.79
OPCT3,4.097474402730375,1166707.337883959,0.0,11.15,1.62
VIVT4,47.08686334610473,1021651.2086845466,0.014310523627075352,69.5,32.3
CYRE3,17.521919733874608,3670498.714479026,0.0023893098782138025,38.9176,5.8
ENBR3,21.149642107554975,2229292.401915959,0.0030794905290659697,125.88,7.8683
BRFS3,35.329161606725826,4422353.554647361,0.0013226529659037833,90.01,5.55
NTCO3,37.35920971978984,4165070.971541156,0.0031999562171628726,129.98,9.91
QUAL3,20.818010118043844,2580503.9517706577,0.004443575042158516,44.99,3.6
EGIE3,30.9247806226867,1141111.2632266493,0.008276986718920095,146.4844,0.0074
MULT3,37.483593054499366,2695171.353865653,0.002706362484157161,355.5,8.5995
BRAP4,36.66668345008757,1826668.8546409807,0.007982158493870403,111.08,3.1
PCAR3,40.92344902386117,2665522.4219088936,0.003497505422993492,130.0,13.44
JHSF3,4.407714214339245,1836687.1728703473,0.0005983012740444667,12.55,1.03
UGPA3,40.703529672276346,4165655.713020372,0.002454782993799823,81.85,10.69
HGTX3,23.0507700339337,1099396.225789611,0.0027768206734534065,87.0,1.3
ELET3,25.483272767075306,69165013.06282838,0.007077473730297722,59.88,4.41
SULA11,24.80260186418109,1347181.1648468708,0.003230066577896138,67.15,11.04
CRFB3,18.0756207366985,4516874.761255116,0.001731036834924966,24.55,8.82
EVEN3,7.2534213805133305,1371675.8011462747,0.0007217792175429853,19.8,1.95
